,category,data_num,success_num,cover_rate,accurcy,B2Baccurcy
0,仪器配件,13,13,100.0,100.0,100.0
1,休闲娱乐,96,94,97.917,73.404,101.064
2,保姆月嫂,27,18,66.667,44.444,133.333
3,保洁清洗,326,325,99.693,75.385,97.538
4,公司注册,301,300,99.668,88.667,92.0
5,其他教育培训,16,15,93.75,0.0,106.667
6,农林牧副渔,6,6,100.0,100.0,100.0
7,冶金矿产,7,7,100.0,100.0,100.0
8,出国劳务,13,12,92.308,83.333,108.333
9,化工能源,4,4,100.0,100.0,100.0
10,司机,4,4,100.0,100.0,100.0
11,外语培训,2,1,50.0,100.0,200.0
12,婴幼儿教育,3,2,66.667,0.0,150.0
13,学历教育,48,48,100.0,68.75,100.0
14,家居家纺,1,1,100.0,100.0,100.0
15,家电维修,623,623,100.0,66.453,99.839
16,工业设备,13,13,100.0,76.923,76.923
17,建材家装,373,358,95.979,82.123,85.475
18,开锁修锁,115,115,100.0,91.304,100.0
19,房屋维修,96,95,98.958,42.105,96.842
20,抵押车不过户车辆,9,9,100.0,100.0,100.0
21,招商加盟,43,43,100.0,93.023,100.0
22,拼车顺风车,2,2,100.0,100.0,100.0
23,搬家服务,534,533,99.813,94.747,97.373
24,新房出售,32,32,100.0,100.0,100.0
25,橡塑涂料,15,15,100.0,86.667,86.667
26,水暖电工,11,11,100.0,63.636,63.636
27,物业管理保安,1,1,100.0,100.0,100.0
28,物品回收,1202,1202,100.0,98.752,99.75
29,狗狗,7,7,100.0,100.0,100.0
30,猫猫,4,4,100.0,100.0,100.0
31,生活配送,36,36,100.0,69.444,88.889
32,电脑维修,40,40,100.0,82.5,100.0
33,白事服务,138,137,99.275,97.08,100.73
34,租车服务,233,226,96.996,28.319,103.097
35,管道维修,196,196,100.0,28.571,100.0
36,线缆照明,1,1,100.0,100.0,100.0
37,维修保养,34,34,100.0,97.059,100.0
38,网络安防,28,28,100.0,92.857,92.857
39,网络直播,4,4,100.0,100.0,100.0
40,美工设计,2,2,100.0,100.0,100.0
41,翻译服务,7,7,100.0,100.0,100.0
42,职业技能,55,54,98.182,77.778,101.852
43,设备租赁,182,175,96.154,86.857,102.857
44,货车,3,3,100.0,100.0,100.0
45,货运物流,114,111,97.368,89.189,99.099
46,过户验车,6,6,100.0,100.0,100.0
47,驾校服务,34,28,82.353,85.714,121.429
48,高价收车,19,19,100.0,100.0,100.0
49,total,5079,5020,98.838,80.996,98.207
